1,0
2,0
3,0
4,1
5,0
6,0
7,0
8,0
9,0
10,1
11,2
12,0
13,0
14,4
15,0
16,5
17,2
18,2
19,3
20,3
21,0
22,5
23,1
24,3
25,26
26,1
27,1
28,13
29,85
30,1
31,2
32,8
33,31
34,0
35,6
36,3
37,6
38,1
39,137
40,2
41,1
42,16
43,2
44,0
45,4
46,2
47,7
48,1
49,3
50,0
51,1
52,0
53,0
54,2
55,0
56,0
57,0
58,2
59,2
60,1
61,1
62,0
63,0
64,1
65,1
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,2
74,1
75,1
76,0
77,0
78,0
79,1
80,1
81,4
82,1
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,2
92,1
93,0
94,1
95,0
96,1
97,6
98,4
99,5
100,1
101,15
102,1
103,1
104,44
105,1
106,27
107,2
108,2
109,1
110,55
111,1
112,6
113,1
114,0
115,66
116,21
117,2
118,220
119,12
120,3
121,1
122,0
123,1
124,1
125,0
126,2
127,0
128,1
129,4
130,9
131,14
132,0
133,0
134,10
135,39
136,23
137,0
138,33
139,0
140,0
141,1
142,0
143,0
144,1
145,1
146,0
147,0
148,27
149,0
150,0
