1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,1
17,1
18,0
19,2
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,0
28,2
29,3
30,2
31,2
32,3
33,1
34,0
35,1
36,0
37,3
38,0
39,1
40,3
41,1
42,6
43,5
44,1
45,0
46,1
47,2
48,11
49,0
50,0
51,8
52,8
53,1
54,11
55,1
56,11
57,3
58,49
59,1
60,38
61,23
62,53
63,29
64,4
65,219
66,30
67,1
68,1
69,1
70,2
71,15
72,0
73,47
74,639
75,1847
76,159
77,0
78,1
79,1
80,3
81,1
82,1
83,733
84,1
85,1
86,1
87,2
88,456
89,314
90,41
91,186
92,98
93,109
94,0
95,2
96,75
97,1
98,1
99,2
100,101
101,196
102,1
103,1
104,366
105,1
106,1
107,1
108,222
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
