1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,0
9,0
10,0
11,0
12,0
13,1
14,0
15,1
16,1
17,2
18,1
19,0
20,2
21,1
22,2
23,3
24,3
25,0
26,2
27,8
28,1
29,1
30,1
31,6
32,3
33,0
34,1
35,8
36,2
37,4
38,0
39,3
40,3
41,2
42,2
43,2
44,0
45,1
46,2
47,3
48,1
49,10
50,3
51,5
52,1
53,4
54,15
55,1
56,1
57,1
58,4
59,1
60,17
61,1
62,4
63,1
64,2
65,9
66,34
67,4
68,26
69,1
70,1
71,1
72,0
73,5
74,1
75,46
76,2
77,1
78,30
79,1
80,59
81,40
82,37
83,50
84,0
85,10
86,2
87,1
88,75
89,1
90,23
91,2
92,7
93,33
94,1
95,0
96,4
97,42
98,14
99,1
100,0
101,58
102,0
103,1
104,0
105,28
106,58
107,6
108,14
109,0
110,7
111,0
112,0
113,0
114,0
115,0
116,2
117,2
118,46
119,12
120,3
121,28
122,0
123,2
124,0
125,2
126,5
127,1
128,3
129,3
130,9
131,0
132,2
133,2
134,1
135,19
136,7
137,3
138,0
139,41
140,0
141,7
142,18
143,0
144,0
145,0
146,2
147,0
148,1
149,0
150,0
